               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047982,            0.040885,           0.0032569,             0.57017,             0.69087,             0.58893,             0.23425,            0.047884,             0.12282,           0.0020548,           0.0043792,           0.0043792,            0.060079
                  37,            0.042749,            0.037423,           0.0023604,              0.4126,             0.68217,             0.57238,             0.35926,            0.054766,             0.12286,           0.0018728,           0.0044949,           0.0044949,            0.058995
                  38,            0.048284,            0.038124,           0.0026038,             0.48708,             0.69542,             0.55019,             0.32349,            0.049253,              0.1154,           0.0017985,           0.0046104,           0.0046104,             0.05791
                  39,            0.045276,            0.037818,           0.0026348,             0.60696,             0.76333,             0.67298,             0.36559,            0.046936,             0.10925,           0.0017926,           0.0047256,           0.0047256,            0.056826
                  40,            0.043839,             0.05468,           0.0024133,              0.5981,             0.73825,             0.66391,             0.34289,            0.050488,             0.12645,           0.0015439,           0.0048406,           0.0048406,            0.055741
                  41,            0.045006,            0.041127,           0.0024796,             0.48464,             0.67255,             0.61587,             0.33556,            0.049559,             0.12101,           0.0015864,           0.0049553,           0.0049553,            0.054655
                  42,            0.045273,            0.036989,           0.0025431,             0.63793,             0.73877,             0.72695,             0.32307,            0.043647,             0.11041,           0.0017706,           0.0050698,           0.0050698,             0.05357
                  43,            0.043751,            0.038452,           0.0021273,             0.45993,             0.71698,             0.61153,             0.36839,            0.050755,             0.12854,           0.0018245,            0.005184,            0.005184,            0.052484
                  44,            0.043174,            0.043556,           0.0022274,             0.68769,              0.8403,              0.7266,             0.39892,            0.043303,             0.11252,           0.0014678,           0.0052979,           0.0052979,            0.051398
                  45,            0.042719,            0.042518,           0.0020405,             0.49283,              0.6743,             0.51663,             0.31156,            0.054123,              0.1293,           0.0018975,           0.0054115,           0.0054115,            0.050312
                  46,            0.040484,            0.036449,           0.0020621,             0.54614,             0.78782,             0.69141,             0.33983,             0.04988,             0.11342,           0.0014904,           0.0055249,           0.0055249,            0.049225
                  47,            0.044852,            0.036921,           0.0021692,             0.63755,             0.68637,             0.67961,             0.36432,            0.043257,             0.11493,           0.0015719,            0.005638,            0.005638,            0.048138
                  48,             0.03999,            0.035594,           0.0020298,             0.55263,              0.6568,             0.55206,             0.33901,             0.04893,             0.11332,           0.0016194,           0.0057508,           0.0057508,            0.047051
                  49,            0.043578,            0.035878,           0.0022682,              0.4951,             0.82885,             0.71923,             0.39827,            0.045145,             0.12086,           0.0016933,           0.0058633,           0.0058633,            0.045963
                  50,            0.042492,            0.040597,           0.0023547,             0.61363,             0.75151,             0.62426,             0.31012,            0.051877,             0.13914,           0.0016237,           0.0059754,           0.0059754,            0.044875
                  51,            0.043608,            0.036777,           0.0032486,             0.68782,             0.80265,             0.76708,             0.42925,            0.044639,             0.11399,           0.0015193,           0.0060873,           0.0060873,            0.043787
                  52,            0.038178,            0.033987,           0.0019932,             0.66845,              0.7022,             0.69885,             0.39868,            0.047513,             0.10853,           0.0014829,           0.0061988,           0.0061988,            0.042699
                  53,            0.042879,            0.058365,           0.0019869,             0.61362,             0.77183,             0.65173,             0.36419,            0.033878,             0.11409,           0.0015048,           0.0063101,           0.0063101,             0.04161
                  54,            0.038988,            0.039917,           0.0024278,             0.74433,             0.68772,              0.7306,             0.43631,            0.041826,             0.11053,           0.0019768,           0.0064209,           0.0064209,            0.040521
                  55,            0.040011,             0.04298,           0.0025075,             0.75018,              0.7822,             0.74225,              0.4031,            0.047582,             0.10683,           0.0014332,           0.0065315,           0.0065315,            0.039431
                  56,            0.037484,            0.035947,           0.0017456,             0.58858,             0.81242,             0.69946,              0.3472,            0.048123,              0.1104,           0.0014438,           0.0066417,           0.0066417,            0.038342
                  57,            0.035259,            0.034176,           0.0017877,             0.72169,             0.64997,             0.64448,             0.38004,             0.03915,              0.1209,           0.0023915,           0.0067516,           0.0067516,            0.037252
                  58,            0.038732,            0.044302,           0.0016587,              0.6069,             0.80783,             0.69628,             0.39914,            0.041026,             0.11053,           0.0013987,           0.0068611,           0.0068611,            0.036161
                  59,            0.039082,            0.039489,           0.0018679,             0.50805,             0.78029,             0.70954,             0.36584,            0.047216,             0.12661,           0.0014311,           0.0069702,           0.0069702,             0.03507
                  60,            0.038921,            0.046607,           0.0016886,             0.64879,             0.77451,             0.71053,             0.40195,            0.047809,             0.11219,           0.0012655,            0.007079,            0.007079,            0.033979
                  61,            0.034907,            0.034527,           0.0016181,             0.72967,             0.76665,              0.7271,             0.38287,            0.041488,             0.12331,            0.001337,           0.0071874,           0.0071874,            0.032887
                  62,            0.036186,            0.035338,           0.0015366,             0.80835,             0.60428,             0.61209,             0.37698,            0.042035,             0.12184,           0.0025926,           0.0072954,           0.0072954,            0.031795
                  63,            0.036878,            0.036635,           0.0016252,              0.5814,             0.58758,             0.55331,             0.36537,            0.041004,             0.11911,           0.0024802,           0.0074031,           0.0074031,            0.030703
                  64,            0.037418,            0.037936,           0.0015368,             0.78733,             0.73311,             0.72386,             0.35616,            0.034769,             0.10887,           0.0017301,           0.0075104,           0.0075104,             0.02961
                  65,            0.037875,            0.060384,           0.0016566,             0.78883,             0.76492,             0.78904,             0.42259,            0.036044,             0.10697,           0.0013589,           0.0076172,           0.0076172,            0.028517
                  66,            0.035487,            0.040284,           0.0014593,             0.80051,             0.81087,             0.80979,             0.45288,            0.038394,              0.1111,           0.0011503,           0.0077237,           0.0077237,            0.027424
                  67,            0.034877,            0.035319,           0.0015532,             0.79734,             0.60556,             0.60386,             0.37894,            0.040023,             0.11442,           0.0017427,           0.0078298,           0.0078298,             0.02633
                  68,            0.036948,             0.03904,           0.0017192,             0.83879,             0.55802,             0.58855,             0.38289,            0.040634,             0.12224,           0.0034249,           0.0079355,           0.0079355,            0.025235
                  69,            0.037887,            0.038427,           0.0016351,             0.90971,             0.50945,             0.52293,             0.35052,            0.037874,             0.13222,           0.0048926,           0.0080407,           0.0080407,            0.024141
                  70,            0.034339,            0.037951,           0.0014443,             0.63821,             0.57278,             0.54846,             0.34045,            0.044156,             0.12332,           0.0020906,           0.0081455,           0.0081455,            0.023046
                  71,            0.034091,            0.035343,           0.0013999,              0.8748,             0.58378,             0.65336,             0.38335,            0.037402,              0.1216,            0.002648,           0.0082499,           0.0082499,             0.02195
                  72,             0.03369,            0.034853,           0.0013829,             0.75285,             0.75777,             0.80443,             0.43735,            0.034875,               0.116,           0.0012841,           0.0083539,           0.0083539,            0.020854
                  73,            0.033921,            0.039728,           0.0014298,             0.80732,             0.86868,             0.84042,             0.48056,            0.032242,             0.10273,           0.0011397,           0.0084574,           0.0084574,            0.019757
                  74,            0.035834,            0.033819,           0.0022717,             0.81172,             0.60679,             0.65878,             0.39993,            0.041931,             0.12684,           0.0024527,           0.0085605,           0.0085605,            0.018661
                  75,            0.034695,            0.037202,           0.0014549,             0.81939,             0.73687,             0.75408,             0.42873,            0.036627,              0.1188,           0.0020987,           0.0086632,           0.0086632,            0.017563
                  76,            0.033435,            0.038472,           0.0014498,              0.8247,             0.80571,             0.78773,             0.45156,            0.033209,             0.11426,           0.0010538,           0.0087654,           0.0087654,            0.016465
                  77,            0.031616,            0.038153,            0.001279,             0.82284,             0.77846,             0.79592,             0.46284,            0.032931,             0.10659,          0.00095118,           0.0088671,           0.0088671,            0.015367
                  78,            0.033606,            0.031613,           0.0013023,              0.7672,              0.7737,             0.76677,             0.41436,            0.037362,             0.10739,            0.001424,           0.0089684,           0.0089684,            0.014268
                  79,            0.035568,            0.037514,           0.0014544,             0.67801,             0.78023,              0.6831,             0.37967,            0.038187,             0.11093,          0.00098499,           0.0090692,           0.0090692,            0.013169
                  80,            0.033915,            0.038214,           0.0013886,             0.68684,             0.78681,             0.72152,             0.37256,            0.037373,               0.119,          0.00098119,           0.0091695,           0.0091695,             0.01207
                  81,            0.032755,            0.033947,           0.0013267,             0.72159,              0.7673,             0.72922,             0.40536,            0.036116,             0.11487,           0.0010486,           0.0092694,           0.0092694,            0.010969
                  82,            0.031171,            0.035893,           0.0012357,             0.90102,             0.79104,             0.85763,              0.4785,            0.032424,             0.10702,          0.00094307,           0.0093687,           0.0093687,           0.0098687
                  83,            0.033675,             0.03749,           0.0014865,             0.69828,             0.61739,             0.66841,              0.4192,            0.038972,             0.12265,           0.0025096,           0.0094018,           0.0094018,           0.0094018
                  84,            0.034206,            0.038556,           0.0013646,             0.60603,             0.70535,             0.63837,             0.38543,            0.045904,             0.12388,           0.0030294,           0.0094018,           0.0094018,           0.0094018
                  85,            0.035835,             0.05455,           0.0014199,             0.72677,             0.41684,              0.4721,             0.32737,            0.051377,             0.18443,            0.014511,           0.0093877,           0.0093877,           0.0093877
                  86,            0.033498,            0.036662,           0.0017097,             0.63407,             0.70846,             0.57839,             0.37032,            0.049093,             0.15385,            0.039989,           0.0093733,           0.0093733,           0.0093733
                  87,            0.035933,            0.036265,           0.0014041,             0.78242,             0.73773,             0.72555,             0.40957,            0.035219,             0.11372,            0.002417,           0.0093589,           0.0093589,           0.0093589
                  88,            0.033175,            0.035685,           0.0012431,             0.79192,             0.74576,             0.74151,             0.42535,             0.03851,              0.1147,           0.0020355,           0.0093442,           0.0093442,           0.0093442
                  89,            0.031202,            0.034839,            0.001152,             0.54856,              0.5783,             0.56751,             0.29276,            0.042313,             0.13452,           0.0027773,           0.0093295,           0.0093295,           0.0093295
                  90,            0.034104,            0.037355,           0.0012795,             0.53904,             0.49925,             0.49131,             0.34056,            0.044738,             0.14792,           0.0059724,           0.0093146,           0.0093146,           0.0093146
                  91,            0.030323,             0.03356,           0.0014265,             0.79765,             0.45447,             0.47681,             0.33007,            0.043111,             0.14248,             0.00568,           0.0092995,           0.0092995,           0.0092995
                  92,            0.033838,            0.038293,           0.0019257,             0.71061,             0.70955,             0.67977,             0.42083,            0.037843,             0.11795,           0.0024329,           0.0092843,           0.0092843,           0.0092843
                  93,            0.033535,            0.034005,           0.0011925,             0.84906,             0.77207,             0.78481,             0.48049,            0.033712,              0.1096,           0.0013093,           0.0092689,           0.0092689,           0.0092689
                  94,            0.029797,             0.03742,           0.0011894,             0.80591,             0.77335,             0.77085,             0.45956,            0.031847,             0.10799,           0.0011549,           0.0092534,           0.0092534,           0.0092534
                  95,            0.030988,            0.034413,           0.0011588,              0.7663,             0.77385,             0.75348,             0.44069,            0.029578,              0.1095,          0.00083181,           0.0092377,           0.0092377,           0.0092377
                  96,            0.030193,            0.036099,           0.0010374,             0.66056,             0.67032,             0.65714,             0.42352,            0.036841,             0.11547,           0.0020467,           0.0092219,           0.0092219,           0.0092219
                  97,            0.032925,            0.033189,              0.0011,             0.82002,             0.67094,             0.71367,             0.44173,             0.03194,             0.10789,           0.0013148,           0.0092059,           0.0092059,           0.0092059
                  98,            0.030806,            0.050547,           0.0011417,              0.8265,             0.78054,             0.79813,             0.45801,            0.033111,             0.10544,          0.00088574,           0.0091898,           0.0091898,           0.0091898
                  99,            0.028975,            0.032199,           0.0010293,             0.85335,             0.77619,             0.82375,             0.47847,            0.031374,             0.10352,          0.00073723,           0.0091735,           0.0091735,           0.0091735
                 100,            0.033447,            0.035718,            0.002252,             0.74583,             0.80157,             0.76523,              0.4417,            0.030902,             0.10731,           0.0008473,           0.0091571,           0.0091571,           0.0091571
                 101,            0.031974,            0.042117,           0.0011378,             0.81409,             0.81905,             0.82954,             0.46068,            0.036083,             0.10921,          0.00079273,           0.0091406,           0.0091406,           0.0091406
                 102,            0.030504,            0.074024,          0.00098679,             0.71011,             0.57849,             0.56069,             0.34987,            0.041228,             0.12667,           0.0022544,           0.0091239,           0.0091239,           0.0091239
                 103,            0.031246,             0.03561,           0.0010802,              0.7492,             0.65033,             0.68887,             0.43326,            0.034641,             0.11457,           0.0016695,           0.0091071,           0.0091071,           0.0091071
                 104,             0.02856,            0.035685,           0.0010046,             0.87358,             0.85351,             0.86483,             0.51222,            0.030164,             0.10065,          0.00068873,           0.0090901,           0.0090901,           0.0090901
                 105,            0.028491,            0.034204,          0.00097374,             0.79485,              0.8639,             0.82499,             0.48891,            0.027608,            0.097141,          0.00076195,            0.009073,            0.009073,            0.009073
                 106,            0.027011,            0.033595,          0.00096679,             0.85702,             0.84214,             0.84642,              0.5061,            0.029658,            0.096968,          0.00077516,           0.0090557,           0.0090557,           0.0090557
                 107,            0.028261,            0.037971,          0.00090823,             0.85583,             0.86413,             0.86603,             0.48491,            0.035384,             0.10348,          0.00074332,           0.0090383,           0.0090383,           0.0090383
                 108,            0.030408,            0.043684,          0.00097781,             0.88557,             0.77186,             0.83247,             0.50292,            0.031753,             0.10323,           0.0007245,           0.0090208,           0.0090208,           0.0090208
